rank,domain,autofillable els,visible els,hidden els,deceptive techniques,url,,,,,
42,salesforce.com,"{NAME_FIRST, ADDRESS_HOME_STATE, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY}","{NAME_FIRST, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY}",{ADDRESS_HOME_STATE},{disp_none_parent},https://www.salesforce.com/form/signup/freetrial-platform/?d=cta-footer-16,,,,,
47,tianya.cn,{EMAIL_ADDRESS},{EMAIL_ADDRESS},{EMAIL_ADDRESS},{covered},https://passport.tianya.cn/login.jsp,,,,,
87,xhamster.com,"{ADDRESS_HOME_COUNTRY, NAME_FULL, EMAIL_ADDRESS}","{NAME_FULL, EMAIL_ADDRESS}",{ADDRESS_HOME_COUNTRY},{disp_none_parent},https://partners.xhamster.com/signup,,,,,
124,jrj.com.cn,"{ADDRESS_HOME_COUNTRY, NAME_LAST, NAME_FIRST, EMAIL_ADDRESS}","{NAME_LAST, NAME_FIRST, EMAIL_ADDRESS}",{ADDRESS_HOME_COUNTRY},{disp_none_parent},http://bank.jrj.com.cn/txtCreditProduct/creditproduct_107011762.shtml,,,,,
139,subscriptiongenius.com,"{ADDRESS_HOME_CITY, NAME_FIRST, ADDRESS_HOME_LINE1, ADDRESS_HOME_ZIP, ADDRESS_HOME_STATE, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}","{ADDRESS_HOME_CITY, NAME_FIRST, ADDRESS_HOME_LINE1, ADDRESS_HOME_ZIP, ADDRESS_HOME_STATE, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, COMPANY_NAME}",{ADDRESS_HOME_COUNTRY},{disp_none_parent},https://checkout.subscriptiongenius.com/vice.com/,,,,,
158,okta.com,"{NAME_FIRST, ADDRESS_HOME_STATE, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}","{NAME_FIRST, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}",{ADDRESS_HOME_STATE},{disp_none},https://www.okta.com/resources/eguide-office365-adoption/,,,,,
158,okta.com,"{NAME_FIRST, ADDRESS_HOME_STATE, EMAIL_ADDRESS, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}","{NAME_FIRST, EMAIL_ADDRESS, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}",{ADDRESS_HOME_STATE},{disp_none},https://developer.okta.com/free-trial,,,,,
170,line.me,"{ADDRESS_HOME_COUNTRY, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER}","{PHONE_HOME_WHOLE_NUMBER, EMAIL_ADDRESS}",{ADDRESS_HOME_COUNTRY},{disp_none},https://contact-cc.line.me/detailId/13217,,,,,
259,dailymail.co.uk,"{ADDRESS_HOME_CITY, EMAIL_ADDRESS, ADDRESS_HOME_COUNTRY}","{ADDRESS_HOME_CITY, EMAIL_ADDRESS}",{ADDRESS_HOME_COUNTRY},{disp_none},https://www.dailymail.co.uk/registration/register.html?targetUrl=&regSource=navigation,,,,,
262,ndtv.com,"{ADDRESS_HOME_CITY, ADDRESS_HOME_ZIP}",{ADDRESS_HOME_CITY},{ADDRESS_HOME_ZIP},{off_screen},https://auto.ndtv.com/yamaha-bikes/fz-s-v30-fi,,,,,
262,ndtv.com,"{ADDRESS_HOME_CITY, ADDRESS_HOME_ZIP, NAME_FULL, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER}","{PHONE_HOME_WHOLE_NUMBER, NAME_FULL, EMAIL_ADDRESS, ADDRESS_HOME_ZIP}",{ADDRESS_HOME_CITY},{transparent},https://auto.ndtv.com/mahindra-cars/xuv300,,,,,
262,ndtv.com,"{ADDRESS_HOME_CITY, ADDRESS_HOME_ZIP, NAME_FULL, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER}","{PHONE_HOME_WHOLE_NUMBER, NAME_FULL, EMAIL_ADDRESS, ADDRESS_HOME_ZIP}",{ADDRESS_HOME_CITY},{transparent},https://auto.ndtv.com/toyota-cars/glanza,,,,,
262,ndtv.com,"{ADDRESS_HOME_CITY, EMAIL_ADDRESS}",{EMAIL_ADDRESS},{ADDRESS_HOME_CITY},{off_screen},https://auto.ndtv.com/hindi/2020-skoda-octavia-breaks-cover-gets-more-tech-and-practicality-news-2132314,,,,,
267,ups.com,"{ADDRESS_HOME_LINE1, ADDRESS_HOME_LINE2, PHONE_HOME_WHOLE_NUMBER, ADDRESS_HOME_COUNTRY, COMPANY_NAME}","{ADDRESS_HOME_LINE2, ADDRESS_HOME_LINE1, COMPANY_NAME, PHONE_HOME_WHOLE_NUMBER}",{ADDRESS_HOME_COUNTRY},{disp_none_parent},https://wwwapps.ups.com/pickup/schedule?loc=en_AE,,,,,
267,ups.com,"{ADDRESS_HOME_CITY, ADDRESS_HOME_LINE1, ADDRESS_HOME_ZIP, ADDRESS_HOME_LINE2, PHONE_HOME_WHOLE_NUMBER, ADDRESS_HOME_COUNTRY, COMPANY_NAME}","{ADDRESS_HOME_CITY, ADDRESS_HOME_LINE1, ADDRESS_HOME_ZIP, ADDRESS_HOME_LINE2, PHONE_HOME_WHOLE_NUMBER, COMPANY_NAME}",{ADDRESS_HOME_COUNTRY},{disp_none_parent},https://wwwapps.ups.com/pickup/schedule?loc=en_AU,,,,,
305,fedex.com,"{NAME_FIRST, ADDRESS_HOME_STATE, EMAIL_ADDRESS, NAME_LAST, ADDRESS_HOME_COUNTRY}","{NAME_LAST, NAME_FIRST, EMAIL_ADDRESS}","{ADDRESS_HOME_STATE, ADDRESS_HOME_COUNTRY}","{covered, disp_none_parent}",https://www.fedex.com/vn/supplies/,,,,,
312,cambridge.org,"{NAME_FIRST, ADDRESS_HOME_STATE, EMAIL_ADDRESS, NAME_LAST, ADDRESS_HOME_COUNTRY}","{NAME_LAST, NAME_FIRST, EMAIL_ADDRESS}","{ADDRESS_HOME_STATE, ADDRESS_HOME_COUNTRY}",{disp_none},https://www.cambridge.org/gb/register,,,,,
312,cambridge.org,"{NAME_FIRST, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY}","{PHONE_HOME_WHOLE_NUMBER, NAME_LAST, NAME_FIRST, EMAIL_ADDRESS}",{ADDRESS_HOME_COUNTRY},{disp_none},https://www.cambridge.org/us/education/find-your-sales-consultant/form,,,,,
312,cambridge.org,"{EMAIL_ADDRESS, NAME_LAST, NAME_FIRST, ADDRESS_HOME_COUNTRY}","{NAME_LAST, NAME_FIRST, EMAIL_ADDRESS}",{ADDRESS_HOME_COUNTRY},{disp_none},https://www.cambridge.org/us/academic/linguistics,,,,,
312,cambridge.org,"{EMAIL_ADDRESS, NAME_LAST, NAME_FIRST, ADDRESS_HOME_COUNTRY}","{NAME_LAST, NAME_FIRST, EMAIL_ADDRESS}",{ADDRESS_HOME_COUNTRY},{disp_none},https://www.cambridge.org/us/academic/law-alerts,,,,,
312,cambridge.org,"{EMAIL_ADDRESS, NAME_LAST, NAME_FIRST, ADDRESS_HOME_COUNTRY}","{NAME_LAST, NAME_FIRST, EMAIL_ADDRESS}",{ADDRESS_HOME_COUNTRY},{disp_none},https://www.cambridge.org/us/academic/nyrb-cambridge-world-history-set-lottery,,,,,
312,cambridge.org,"{ADDRESS_HOME_CITY, NAME_FIRST, ADDRESS_HOME_LINE1, ADDRESS_HOME_ZIP, ADDRESS_HOME_LINE2, ADDRESS_HOME_STATE, EMAIL_ADDRESS, ADDRESS_HOME_LINE3, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY}","{ADDRESS_HOME_CITY, NAME_FIRST, ADDRESS_HOME_LINE1, ADDRESS_HOME_ZIP, ADDRESS_HOME_LINE2, EMAIL_ADDRESS, ADDRESS_HOME_LINE3, PHONE_HOME_WHOLE_NUMBER, NAME_LAST}","{ADDRESS_HOME_STATE, ADDRESS_HOME_COUNTRY}",{disp_none},https://www.cambridge.org/us/cambridgeenglish/contact/form,,,,,
319,blackboard.com,"{NAME_FIRST, ADDRESS_HOME_STATE, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}","{NAME_FIRST, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}",{ADDRESS_HOME_STATE},{disp_none_parent},https://www.blackboard.com/partnerships/become-a-partner,,,,,
319,blackboard.com,"{NAME_FIRST, ADDRESS_HOME_STATE, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}","{NAME_FIRST, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}",{ADDRESS_HOME_STATE},{disp_none_parent},https://www.blackboard.com/teaching-learning/learning-management/blackboard-classroom,,,,,
319,blackboard.com,"{NAME_FIRST, ADDRESS_HOME_STATE, EMAIL_ADDRESS, NAME_LAST, COMPANY_NAME}","{NAME_LAST, NAME_FIRST, EMAIL_ADDRESS, COMPANY_NAME}",{ADDRESS_HOME_STATE},{disp_none_parent},https://go.blackboard.com/ultra-planning-workshop,,,,,
417,adp.com,"{NAME_FIRST, ADDRESS_HOME_ZIP, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}","{NAME_FIRST, ADDRESS_HOME_ZIP, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, COMPANY_NAME}",{ADDRESS_HOME_COUNTRY},{off_parents_overflow},https://www.adp.com/who-we-serve/by-industry.aspx,,,,,
417,adp.com,"{NAME_FIRST, ADDRESS_HOME_ZIP, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}","{NAME_FIRST, ADDRESS_HOME_ZIP, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, COMPANY_NAME}",{ADDRESS_HOME_COUNTRY},{off_parents_overflow},https://www.adp.com/who-we-serve/by-industry/health-care.aspx,,,,,
417,adp.com,"{NAME_FIRST, ADDRESS_HOME_ZIP, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}","{NAME_FIRST, ADDRESS_HOME_ZIP, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, COMPANY_NAME}",{ADDRESS_HOME_COUNTRY},{off_parents_overflow},https://www.adp.com/what-we-offer/products/adp-workforce-now.aspx,,,,,
417,adp.com,"{NAME_FIRST, ADDRESS_HOME_ZIP, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}","{NAME_FIRST, ADDRESS_HOME_ZIP, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, COMPANY_NAME}",{ADDRESS_HOME_COUNTRY},{off_parents_overflow},https://www.adp.com/what-we-offer/products/totalsource-peo.aspx,,,,,
417,adp.com,"{NAME_FIRST, ADDRESS_HOME_ZIP, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}","{NAME_FIRST, ADDRESS_HOME_ZIP, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, COMPANY_NAME}",{ADDRESS_HOME_COUNTRY},{off_parents_overflow},https://www.adp.com/who-we-serve/by-business-size/1-49-employees.aspx,,,,,
417,adp.com,"{NAME_FIRST, ADDRESS_HOME_ZIP, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, ADDRESS_HOME_COUNTRY, COMPANY_NAME}","{NAME_FIRST, ADDRESS_HOME_ZIP, EMAIL_ADDRESS, PHONE_HOME_WHOLE_NUMBER, NAME_LAST, COMPANY_NAME}",{ADDRESS_HOME_COUNTRY},{off_parents_overflow},https://www.adp.com/who-we-serve/by-partner/franchise-alliances.aspx,,,,,
